day,method,case,t_idx,load_kw
2023-07-01,Persistence,Charger,82,26.4
2023-07-01,Persistence,Charger,83,19.8
2023-07-01,Persistence,Charger,84,19.8
2023-07-01,Persistence,Charger,85,31.58
2023-07-01,Persistence,Charger,86,19.8
2023-07-01,Persistence,Charger,87,26.4
2023-07-01,Persistence,Charger,88,16.332
2023-07-01,Persistence,Charger,89,13.2
2023-07-01,Persistence,Charger,90,6.6
2023-07-01,Persistence,Charger,91,0.0
2023-07-01,Persistence,Charger,92,0.0
2023-07-01,Persistence,Charger,93,4.788
2023-07-01,Persistence,Charger,94,0.0
2023-07-01,Persistence,Charger,95,0.0
2023-07-01,Persistence,Charger,96,0.0
2023-07-01,Statistic,EV,1,0.0
2023-07-01,Statistic,EV,2,0.0
2023-07-01,Statistic,EV,3,0.0
2023-07-01,Statistic,EV,4,6.6
2023-07-01,Statistic,EV,5,6.6
2023-07-01,Statistic,EV,6,6.6
2023-07-01,Statistic,EV,7,0.0
2023-07-01,Statistic,EV,8,6.6
2023-07-01,Statistic,EV,9,0.0
2023-07-01,Statistic,EV,10,0.0
2023-07-01,Statistic,EV,11,9.3944
2023-07-01,Statistic,EV,12,11.044
2023-07-01,Statistic,EV,13,6.6
2023-07-01,Statistic,EV,14,6.6
2023-07-01,Statistic,EV,15,13.2
2023-07-01,Statistic,EV,16,13.2
2023-07-01,Statistic,EV,17,6.6
2023-07-01,Statistic,EV,18,19.8
2023-07-01,Statistic,EV,19,13.2
2023-07-01,Statistic,EV,20,8.2544
2023-07-01,Statistic,EV,21,16.5168
2023-07-01,Statistic,EV,22,20.4568
2023-07-01,Statistic,EV,23,13.2
2023-07-01,Statistic,EV,24,19.8
2023-07-01,Statistic,EV,25,19.8
2023-07-01,Statistic,EV,26,23.957441
2023-07-01,Statistic,EV,27,24.654559
2023-07-01,Statistic,EV,28,25.696054
2023-07-01,Statistic,EV,29,27.350176
2023-07-01,Statistic,EV,30,29.200338
2023-07-01,Statistic,EV,31,29.200338
2023-07-01,Statistic,EV,32,29.581186
2023-07-01,Statistic,EV,33,29.581186
2023-07-01,Statistic,EV,34,30.500412
2023-07-01,Statistic,EV,35,31.730145
2023-07-01,Statistic,EV,36,42.755938
2023-07-01,Statistic,EV,37,43.240938
2023-07-01,Statistic,EV,38,43.240938
2023-07-01,Statistic,EV,39,43.240938
2023-07-01,Statistic,EV,40,43.240938
2023-07-01,Statistic,EV,41,46.499438
2023-07-01,Statistic,EV,42,48.75747
2023-07-01,Statistic,EV,43,54.792982
2023-07-01,Statistic,EV,44,56.627839
2023-07-01,Statistic,EV,45,56.627839
2023-07-01,Statistic,EV,46,56.627839
