target_day,method,actual_session_count,forecast_session_count,matched_session_count,count_mae_per_charger,arrival_mae_slots,departure_mae_slots,energy_mae_kwh,arrival_upper_coverage,departure_lower_coverage,energy_upper_coverage
2023-09-08,Persistence,9.0,9.0,5.0,1.3333333333333333,4.8,7.4,12.1144,,,
2023-09-08,HistoricalMedian,9.0,11.0,7.0,1.0,7.857142857142857,9.857142857142858,4.551285714285714,1.0,0.8571428571428571,0.8571428571428571
2023-09-08,ConformalRobust,9.0,11.0,7.0,1.0,16.857142857142858,12.0,10.425571428571429,,,
2023-09-09,Persistence,7.0,6.0,4.0,0.8333333333333334,9.5,12.0,3.3787499999999997,,,
2023-09-09,HistoricalMedian,7.0,10.0,6.0,0.8333333333333334,11.166666666666666,10.666666666666666,4.631833333333334,0.6666666666666666,1.0,1.0
2023-09-09,ConformalRobust,7.0,10.0,6.0,0.8333333333333334,10.833333333333334,9.166666666666666,3.6078333333333332,,,
2023-09-10,Persistence,7.0,6.0,4.0,0.8333333333333334,13.25,18.75,3.309,,,
2023-09-10,HistoricalMedian,7.0,6.0,4.0,0.8333333333333334,16.0,18.5,5.92,1.0,0.75,1.0
2023-09-10,ConformalRobust,7.0,6.0,4.0,0.8333333333333334,23.5,20.25,6.0465,,,
2023-09-11,Persistence,8.0,6.0,4.0,1.0,16.5,14.75,3.9644999999999997,,,
2023-09-11,HistoricalMedian,8.0,9.0,6.0,0.8333333333333334,13.666666666666666,17.666666666666668,9.412,0.6666666666666666,0.8333333333333334,1.0
2023-09-11,ConformalRobust,8.0,9.0,6.0,0.8333333333333334,19.0,16.166666666666668,3.9611666666666667,,,
2023-09-12,Persistence,7.0,6.0,4.0,0.8333333333333334,8.5,13.75,13.056249999999999,,,
2023-09-12,HistoricalMedian,7.0,8.0,5.0,0.8333333333333334,15.0,12.4,9.7666,0.8,1.0,0.8
2023-09-12,ConformalRobust,7.0,8.0,5.0,0.8333333333333334,19.2,9.0,10.039,,,
2023-09-13,Persistence,9.0,13.0,5.0,2.0,7.2,6.0,12.1276,,,
2023-09-13,HistoricalMedian,9.0,13.0,8.0,1.0,4.125,4.125,10.4560625,1.0,1.0,0.75
2023-09-13,ConformalRobust,9.0,13.0,8.0,1.0,15.125,6.75,12.647375,,,
